Employee Name,Department, Salary ,Company Tenure
Colby,Training and Development," $46,737.98 ",3
Marsha,Human Resources," $44,015.10 ",2
Makayla,Customer Service," $56,168.47 ",4
Gordon,Accounting," $44,479.25 ",5
Valiant,Human Resources," $79,795.52 ",5
Pilar,Customer Service," $56,713.52 ",5
Terisa,Accounting," $64,655.68 ",4
Joie,Training and Development," $53,891.75 ",5
Anjuli,Customer Service," $50,617.42 ",1
Eizen,Training and Development," $42,942.82 ",5
Lark,Training and Development," $63,795.32 ",2
Marene,Human Resources," $75,133.92 ",5
Kimothy,Customer Service," $72,935.65 ",3
Rosslyn,Training and Development," $62,338.82 ",2
Thela,Human Resources," $58,553.16 ",3
Adetokunbo,Training and Development," $41,212.58 ",4
Chin,Training and Development," $48,979.23 ",1
Michaelpaul,Accounting," $46,278.23 ",1
Nicola,Human Resources," $67,308.81 ",3
Jeremy,Human Resources," $67,407.91 ",2
Edwyn,Accounting," $69,240.17 ",4
Alvon,Training and Development," $79,148.43 ",2
Zaylon,Training and Development," $78,214.03 ",3
Danell,Accounting," $45,050.10 ",4
Dontrell,Customer Service," $49,116.64 ",3
Lillian,Customer Service," $59,465.40 ",3
Lillis,Accounting," $47,728.10 ",5
Debbra,Human Resources," $78,086.81 ",3
Juanita,Human Resources," $63,980.77 ",1
Josephus,Customer Service," $62,282.53 ",3
Tasnim,Accounting," $77,253.89 ",1
Jaimey,Training and Development," $40,572.19 ",4
Vana,Training and Development," $74,862.65 ",4
Karima,Accounting," $55,043.74 ",1
Isamar,Customer Service," $63,008.67 ",3
Linnie,Training and Development," $66,645.73 ",1
Thos,Accounting," $62,862.51 ",4
Kenney,Customer Service," $55,958.99 ",4
Margot,Training and Development," $68,276.95 ",2
Keenan,Human Resources," $45,136.28 ",4
Buddy,Accounting," $61,287.37 ",3
Alcario,Customer Service," $50,574.05 ",2
